spatial_group,total_sources,industrial_sources,industrial_percent,has_industrial,fold
28_157,358,1,0.27932960893854747,True,train
28_158,161,1,0.6211180124223602,True,validation
28_159,74,0,0.0,False,train
28_160,20,1,5.0,True,validation
29_148,6,0,0.0,False,train
29_149,61,0,0.0,False,test
29_150,207,0,0.0,False,train
29_151,186,0,0.0,False,test
29_152,73,0,0.0,False,train
29_153,70,0,0.0,False,test
29_154,75,0,0.0,False,train
29_155,223,3,1.345291479820628,True,train
29_156,116,0,0.0,False,train
29_157,286,0,0.0,False,train
29_158,175,3,1.7142857142857144,True,train
29_159,122,0,0.0,False,train
29_160,13,0,0.0,False,train
30_147,1,0,0.0,False,validation
30_148,50,0,0.0,False,train
30_149,275,0,0.0,False,train
30_150,125,1,0.8,True,test
30_151,152,0,0.0,False,train
30_152,102,0,0.0,False,validation
30_153,217,4,1.8433179723502304,True,validation
30_154,106,0,0.0,False,train
30_155,109,0,0.0,False,train
30_156,212,1,0.4716981132075472,True,train
30_157,583,1,0.17152658662092624,True,train
30_158,163,0,0.0,False,train
30_159,104,0,0.0,False,test
30_160,32,0,0.0,False,train
31_147,55,0,0.0,False,train
31_148,171,0,0.0,False,train
31_149,211,0,0.0,False,train
31_150,218,0,0.0,False,test
31_151,117,1,0.8547008547008548,True,validation
31_152,41,0,0.0,False,train
31_153,476,0,0.0,False,train
31_154,107,1,0.9345794392523363,True,train
31_155,145,0,0.0,False,train
31_156,192,1,0.5208333333333333,True,train
31_157,591,4,0.676818950930626,True,test
31_158,259,1,0.3861003861003861,True,train
31_159,242,0,0.0,False,train
31_160,104,0,0.0,False,train
31_161,11,0,0.0,False,train
31_162,2,0,0.0,False,train
32_147,264,1,0.3787878787878788,True,train
32_148,308,0,0.0,False,train
32_149,93,0,0.0,False,validation
32_150,222,0,0.0,False,train
32_151,209,0,0.0,False,train
32_152,152,0,0.0,False,validation
32_153,253,1,0.3952569169960474,True,train
32_154,295,1,0.3389830508474576,True,train
32_155,256,0,0.0,False,train
32_156,192,0,0.0,False,train
32_157,530,3,0.5660377358490566,True,test
32_158,179,0,0.0,False,train
32_159,181,0,0.0,False,train
32_160,194,0,0.0,False,train
32_161,341,7,2.0527859237536656,True,train
32_162,30,0,0.0,False,validation
32_163,3,0,0.0,False,train
33_146,17,0,0.0,False,validation
33_147,446,0,0.0,False,train
33_148,280,0,0.0,False,train
33_149,186,0,0.0,False,train
33_150,99,0,0.0,False,test
33_151,100,0,0.0,False,test
33_152,121,0,0.0,False,train
33_153,344,3,0.872093023255814,True,train
33_154,187,2,1.06951871657754,True,train
33_155,157,0,0.0,False,validation
33_156,129,0,0.0,False,train
33_157,102,0,0.0,False,train
33_158,123,0,0.0,False,train
33_159,228,0,0.0,False,train
33_160,242,0,0.0,False,validation
33_161,208,0,0.0,False,train
33_162,78,0,0.0,False,train
33_163,107,0,0.0,False,train
33_164,77,0,0.0,False,validation
34_146,98,1,1.0204081632653061,True,train
34_147,392,4,1.0204081632653061,True,train
34_148,184,0,0.0,False,train
34_149,84,0,0.0,False,validation
34_150,57,0,0.0,False,train
34_151,90,0,0.0,False,train
34_152,167,0,0.0,False,train
34_153,152,0,0.0,False,validation
34_154,147,0,0.0,False,train
34_155,238,0,0.0,False,validation
34_156,195,0,0.0,False,validation
34_157,148,0,0.0,False,train
34_158,227,0,0.0,False,train
34_159,193,0,0.0,False,train
34_160,317,0,0.0,False,validation
34_161,353,1,0.28328611898017,True,train
34_162,410,2,0.4878048780487805,True,train
34_163,343,0,0.0,False,train
34_164,189,1,0.5291005291005291,True,train
34_165,15,0,0.0,False,test
35_146,346,0,0.0,False,test
35_147,437,1,0.2288329519450801,True,test
35_148,124,0,0.0,False,train
35_149,132,0,0.0,False,train
35_150,218,0,0.0,False,train
35_151,182,0,0.0,False,train
35_152,174,0,0.0,False,train
35_153,136,0,0.0,False,train
35_154,255,0,0.0,False,train
35_155,243,0,0.0,False,validation
35_156,337,1,0.2967359050445104,True,train
35_157,131,0,0.0,False,test
35_158,183,0,0.0,False,test
35_159,332,0,0.0,False,train
35_160,633,4,0.631911532385466,True,train
35_161,509,0,0.0,False,train
35_162,514,0,0.0,False,train
35_163,718,15,2.0891364902506964,True,train
35_164,577,2,0.34662045060658575,True,train
35_165,252,7,2.7777777777777777,True,train
35_166,57,5,8.771929824561402,True,train
35_167,2,0,0.0,False,train
36_145,21,0,0.0,False,validation
36_146,603,10,1.658374792703151,True,train
36_147,495,2,0.40404040404040403,True,validation
36_148,171,0,0.0,False,train
36_149,220,0,0.0,False,train
36_150,220,0,0.0,False,train
36_151,175,0,0.0,False,test
36_152,112,0,0.0,False,train
36_153,119,0,0.0,False,validation
36_154,109,0,0.0,False,validation
36_155,342,4,1.1695906432748537,True,train
36_156,480,1,0.20833333333333334,True,train
36_157,222,0,0.0,False,test
36_158,343,0,0.0,False,validation
36_159,400,0,0.0,False,train
36_160,751,1,0.13315579227696406,True,train
36_161,563,0,0.0,False,test
36_162,593,0,0.0,False,train
36_163,480,4,0.8333333333333334,True,train
36_164,530,6,1.1320754716981132,True,train
36_165,234,1,0.4273504273504274,True,train
36_166,254,1,0.39370078740157477,True,train
36_167,174,3,1.7241379310344827,True,train
36_168,24,0,0.0,False,test
36_188,5,0,0.0,False,train
37_145,48,0,0.0,False,train
37_146,466,2,0.4291845493562232,True,train
37_147,333,0,0.0,False,train
37_148,223,0,0.0,False,test
37_149,156,0,0.0,False,train
37_150,97,0,0.0,False,validation
37_151,59,0,0.0,False,train
37_152,106,0,0.0,False,train
37_153,60,0,0.0,False,train
37_154,85,0,0.0,False,test
37_155,280,3,1.0714285714285714,True,train
37_156,642,2,0.3115264797507788,True,train
37_157,595,0,0.0,False,train
37_158,379,0,0.0,False,train
37_159,322,0,0.0,False,test
37_160,725,5,0.6896551724137931,True,test
37_161,613,1,0.1631321370309951,True,train
37_162,401,1,0.24937655860349126,True,train
37_163,315,0,0.0,False,test
37_164,476,6,1.2605042016806722,True,test
37_165,206,4,1.9417475728155338,True,train
37_166,428,8,1.8691588785046727,True,test
37_167,352,2,0.5681818181818182,True,train
37_168,201,0,0.0,False,train
37_169,12,0,0.0,False,train
37_187,40,0,0.0,False,train
37_188,177,6,3.389830508474576,True,test
38_145,74,0,0.0,False,train
38_146,509,5,0.9823182711198428,True,train
38_147,318,0,0.0,False,train
38_148,114,0,0.0,False,test
38_149,140,0,0.0,False,train
38_150,143,0,0.0,False,train
38_151,194,0,0.0,False,validation
38_152,215,0,0.0,False,train
38_153,127,0,0.0,False,test
38_154,264,0,0.0,False,test
38_155,154,0,0.0,False,train
38_156,199,0,0.0,False,train
38_157,496,0,0.0,False,train
38_158,341,0,0.0,False,test
38_159,259,0,0.0,False,test
38_160,773,0,0.0,False,validation
38_161,518,0,0.0,False,train
38_162,548,19,3.4671532846715327,True,train
38_163,141,0,0.0,False,train
38_164,184,0,0.0,False,train
38_165,347,14,4.034582132564841,True,validation
38_166,436,7,1.6055045871559634,True,train
38_167,436,0,0.0,False,train
38_168,284,1,0.35211267605633806,True,validation
38_169,65,0,0.0,False,train
38_170,4,0,0.0,False,train
38_187,304,2,0.6578947368421052,True,validation
38_188,358,21,5.865921787709497,True,test
39_145,160,0,0.0,False,train
39_146,316,1,0.31645569620253167,True,test
39_147,246,1,0.40650406504065045,True,train
39_148,106,0,0.0,False,train
39_149,182,0,0.0,False,train
39_150,163,0,0.0,False,validation
39_151,73,0,0.0,False,train
39_152,73,0,0.0,False,train
39_153,64,0,0.0,False,train
39_154,102,0,0.0,False,train
39_155,157,0,0.0,False,train
39_156,214,1,0.46728971962616817,True,test
39_157,168,0,0.0,False,test
39_158,162,0,0.0,False,test
39_159,219,1,0.45662100456621,True,train
39_160,726,1,0.13774104683195593,True,train
39_161,862,4,0.46403712296983757,True,train
39_162,327,3,0.9174311926605505,True,train
39_163,97,0,0.0,False,train
39_164,301,0,0.0,False,train
39_165,186,1,0.5376344086021506,True,validation
39_166,486,2,0.411522633744856,True,test
39_167,683,17,2.4890190336749636,True,train
39_168,358,2,0.5586592178770949,True,train
39_169,104,1,0.9615384615384616,True,train
39_170,81,0,0.0,False,train
39_171,79,0,0.0,False,train
39_185,2,0,0.0,False,train
39_186,39,0,0.0,False,test
39_187,240,8,3.3333333333333335,True,train
39_188,213,16,7.511737089201878,True,train
40_144,3,0,0.0,False,validation
40_145,55,0,0.0,False,train
40_146,182,0,0.0,False,validation
40_147,156,0,0.0,False,train
40_148,43,0,0.0,False,validation
40_149,29,0,0.0,False,train
40_150,92,0,0.0,False,train
40_151,57,0,0.0,False,train
40_152,96,0,0.0,False,test
40_153,80,0,0.0,False,validation
40_154,111,0,0.0,False,train
40_155,58,0,0.0,False,test
40_156,139,0,0.0,False,test
40_157,114,0,0.0,False,validation
40_158,80,0,0.0,False,train
40_159,274,0,0.0,False,train
40_160,603,0,0.0,False,validation
40_161,522,0,0.0,False,train
40_162,177,0,0.0,False,train
40_163,213,0,0.0,False,validation
40_164,462,0,0.0,False,train
40_165,116,0,0.0,False,test
40_166,128,0,0.0,False,train
40_167,429,1,0.2331002331002331,True,test
40_168,241,0,0.0,False,train
40_169,268,0,0.0,False,test
40_170,177,0,0.0,False,train
40_171,99,0,0.0,False,train
40_172,27,0,0.0,False,test
40_185,76,0,0.0,False,validation
40_186,296,1,0.33783783783783783,True,train
40_187,96,4,4.166666666666666,True,train
40_188,371,14,3.7735849056603774,True,test
41_140,7,0,0.0,False,train
41_141,117,1,0.8547008547008548,True,train
41_142,34,1,2.941176470588235,True,test
41_145,35,0,0.0,False,train
41_146,148,0,0.0,False,train
41_147,379,0,0.0,False,validation
41_148,71,0,0.0,False,test
41_149,41,0,0.0,False,test
41_150,75,0,0.0,False,train
41_151,87,0,0.0,False,train
41_152,40,0,0.0,False,train
41_153,36,0,0.0,False,train
41_154,48,0,0.0,False,train
41_155,37,0,0.0,False,train
41_156,72,0,0.0,False,train
41_157,77,0,0.0,False,train
41_158,130,0,0.0,False,train
41_159,167,0,0.0,False,train
41_160,512,0,0.0,False,train
41_161,293,0,0.0,False,test
41_162,419,1,0.23866348448687352,True,train
41_163,519,6,1.1560693641618496,True,train
41_164,379,1,0.2638522427440633,True,train
41_165,181,0,0.0,False,test
41_166,190,0,0.0,False,train
41_167,209,0,0.0,False,train
41_168,210,0,0.0,False,train
41_169,177,0,0.0,False,train
41_170,196,0,0.0,False,train
41_171,103,0,0.0,False,train
41_172,161,3,1.8633540372670807,True,train
41_173,141,1,0.7092198581560284,True,train
41_184,41,1,2.4390243902439024,True,train
41_185,259,4,1.5444015444015444,True,train
41_186,309,1,0.3236245954692557,True,train
41_187,268,8,2.9850746268656714,True,train
41_188,712,58,8.146067415730338,True,validation
42_140,74,0,0.0,False,train
42_141,136,0,0.0,False,validation
42_142,38,0,0.0,False,train
42_143,43,0,0.0,False,test
42_144,26,0,0.0,False,train
42_145,224,6,2.6785714285714284,True,train
42_146,158,0,0.0,False,train
42_147,208,0,0.0,False,train
42_148,99,1,1.0101010101010102,True,test
42_149,72,0,0.0,False,train
42_150,145,0,0.0,False,test
42_151,152,0,0.0,False,validation
42_152,81,0,0.0,False,train
42_153,100,0,0.0,False,test
42_154,36,0,0.0,False,train
42_155,39,0,0.0,False,validation
42_156,91,0,0.0,False,validation
42_157,94,0,0.0,False,validation
42_158,279,0,0.0,False,validation
42_159,135,0,0.0,False,train
42_160,220,0,0.0,False,test
42_161,380,0,0.0,False,train
42_162,432,2,0.4629629629629629,True,train
42_163,540,6,1.1111111111111112,True,test
42_164,615,6,0.975609756097561,True,train
42_165,490,0,0.0,False,train
42_166,415,0,0.0,False,validation
42_167,359,0,0.0,False,train
42_168,224,0,0.0,False,train
42_169,268,0,0.0,False,train
42_170,216,0,0.0,False,train
42_171,284,2,0.7042253521126761,True,train
42_172,137,0,0.0,False,train
42_173,98,0,0.0,False,train
42_184,154,2,1.2987012987012987,True,train
42_185,297,14,4.713804713804714,True,validation
42_186,180,5,2.7777777777777777,True,train
42_187,250,19,7.6,True,train
42_188,713,54,7.5736325385694245,True,train
43_139,79,0,0.0,False,validation
43_140,138,0,0.0,False,train
43_141,86,0,0.0,False,validation
43_142,54,0,0.0,False,train
43_143,46,0,0.0,False,train
43_144,31,0,0.0,False,train
43_145,225,7,3.111111111111111,True,train
43_146,126,0,0.0,False,train
43_147,154,0,0.0,False,train
43_148,127,0,0.0,False,train
43_149,49,0,0.0,False,test
43_150,47,0,0.0,False,validation
43_151,43,0,0.0,False,train
43_152,71,0,0.0,False,train
43_153,142,0,0.0,False,train
43_154,61,0,0.0,False,train
43_155,71,0,0.0,False,train
43_156,102,0,0.0,False,train
43_157,102,0,0.0,False,train
43_158,134,0,0.0,False,train
43_159,138,0,0.0,False,test
43_160,164,0,0.0,False,train
43_161,70,0,0.0,False,train
43_162,400,0,0.0,False,train
43_163,540,0,0.0,False,train
43_164,510,2,0.39215686274509803,True,train
43_165,573,9,1.5706806282722512,True,test
43_166,479,2,0.41753653444676403,True,test
43_167,400,1,0.25,True,validation
43_168,340,1,0.29411764705882354,True,train
43_169,261,0,0.0,False,test
43_170,395,3,0.7594936708860759,True,train
43_171,86,0,0.0,False,train
43_172,165,0,0.0,False,train
43_173,148,0,0.0,False,test
43_174,320,2,0.625,True,test
43_175,88,0,0.0,False,train
43_177,1,0,0.0,False,train
43_178,1,0,0.0,False,train
43_183,3,0,0.0,False,validation
43_184,328,21,6.402439024390244,True,train
43_185,353,19,5.382436260623229,True,train
43_186,106,1,0.9433962264150944,True,test
43_187,578,9,1.5570934256055362,True,test
43_188,894,9,1.006711409395973,True,train
44_138,19,0,0.0,False,train
44_139,49,2,4.081632653061225,True,train
44_140,109,0,0.0,False,train
44_141,85,0,0.0,False,train
44_142,27,0,0.0,False,train
44_143,50,0,0.0,False,train
44_144,68,0,0.0,False,train
44_145,99,0,0.0,False,train
44_146,141,0,0.0,False,train
44_147,166,0,0.0,False,train
44_148,68,0,0.0,False,validation
44_149,31,0,0.0,False,train
44_150,87,0,0.0,False,train
44_151,183,0,0.0,False,train
44_152,225,0,0.0,False,train
44_153,198,0,0.0,False,train
44_154,315,1,0.31746031746031744,True,train
44_155,98,0,0.0,False,test
44_156,105,1,0.9523809523809524,True,validation
44_157,71,0,0.0,False,train
44_158,326,3,0.9202453987730062,True,train
44_159,539,8,1.4842300556586272,True,train
44_160,402,2,0.4975124378109453,True,train
44_161,70,0,0.0,False,train
44_162,162,0,0.0,False,train
44_163,198,0,0.0,False,train
44_164,307,1,0.32573289902280134,True,test
44_165,384,0,0.0,False,train
44_166,309,0,0.0,False,train
44_167,210,3,1.4285714285714286,True,train
44_168,114,0,0.0,False,train
44_169,91,0,0.0,False,test
44_170,519,1,0.1926782273603083,True,train
44_171,134,1,0.7462686567164178,True,test
44_172,232,0,0.0,False,train
44_173,223,0,0.0,False,train
44_174,354,0,0.0,False,test
44_175,99,0,0.0,False,train
44_176,42,3,7.142857142857142,True,validation
44_177,10,0,0.0,False,test
44_179,2,0,0.0,False,train
44_180,10,0,0.0,False,train
44_181,6,0,0.0,False,test
44_183,27,1,3.7037037037037033,True,train
44_184,293,5,1.7064846416382253,True,train
44_185,369,37,10.02710027100271,True,train
44_186,152,2,1.3157894736842104,True,train
44_187,610,4,0.6557377049180327,True,train
44_188,923,11,1.191765980498375,True,train
44_189,19,0,0.0,False,train
45_138,31,0,0.0,False,train
45_139,46,0,0.0,False,train
45_140,53,0,0.0,False,validation
45_141,125,0,0.0,False,validation
45_142,51,0,0.0,False,train
45_143,57,0,0.0,False,train
45_144,170,0,0.0,False,validation
45_145,75,0,0.0,False,train
45_146,34,0,0.0,False,validation
45_147,87,0,0.0,False,train
45_148,57,0,0.0,False,train
45_149,29,0,0.0,False,train
45_150,306,0,0.0,False,train
45_151,343,0,0.0,False,train
45_152,370,0,0.0,False,test
45_153,320,1,0.3125,True,validation
45_154,565,1,0.17699115044247787,True,train
45_155,696,17,2.442528735632184,True,train
45_156,551,4,0.7259528130671506,True,train
45_157,436,1,0.22935779816513763,True,train
45_158,259,0,0.0,False,test
45_159,218,0,0.0,False,train
45_160,182,0,0.0,False,train
45_161,63,0,0.0,False,train
45_162,79,0,0.0,False,validation
45_163,70,0,0.0,False,test
45_164,142,0,0.0,False,train
45_165,198,0,0.0,False,test
45_166,83,0,0.0,False,train
45_167,108,0,0.0,False,train
45_168,84,0,0.0,False,train
45_169,14,0,0.0,False,train
45_170,257,1,0.38910505836575876,True,validation
45_171,313,0,0.0,False,train
45_172,316,2,0.6329113924050633,True,train
45_173,206,0,0.0,False,train
45_174,212,0,0.0,False,validation
45_175,205,0,0.0,False,validation
45_176,101,0,0.0,False,test
45_177,7,0,0.0,False,test
45_178,1,0,0.0,False,train
45_179,17,0,0.0,False,train
45_180,2,0,0.0,False,validation
45_181,5,0,0.0,False,test
45_182,4,0,0.0,False,train
45_183,129,3,2.3255813953488373,True,test
45_184,256,0,0.0,False,train
45_185,223,14,6.278026905829597,True,train
45_186,166,1,0.6024096385542169,True,train
45_187,539,3,0.5565862708719851,True,train
45_188,717,14,1.9525801952580195,True,test
45_189,38,0,0.0,False,validation
46_137,78,2,2.564102564102564,True,train
46_138,86,1,1.1627906976744187,True,validation
46_139,81,0,0.0,False,train
46_140,67,0,0.0,False,train
46_141,31,0,0.0,False,test
46_142,48,0,0.0,False,train
46_143,60,0,0.0,False,train
46_144,125,0,0.0,False,test
46_145,25,0,0.0,False,train
46_146,24,0,0.0,False,validation
46_147,139,0,0.0,False,train
46_148,48,0,0.0,False,train
46_149,45,0,0.0,False,train
46_150,138,0,0.0,False,train
46_151,346,2,0.5780346820809248,True,train
46_152,209,0,0.0,False,train
46_153,177,0,0.0,False,validation
46_154,263,3,1.1406844106463878,True,test
46_155,526,6,1.1406844106463878,True,train
46_156,438,0,0.0,False,validation
46_157,303,0,0.0,False,validation
46_158,212,0,0.0,False,train
46_159,459,22,4.793028322440087,True,validation
46_160,309,7,2.26537216828479,True,validation
46_161,43,0,0.0,False,validation
46_162,93,0,0.0,False,train
46_163,43,0,0.0,False,train
46_164,81,0,0.0,False,train
46_165,69,0,0.0,False,validation
46_166,108,0,0.0,False,train
46_167,190,0,0.0,False,validation
46_168,218,0,0.0,False,test
46_169,35,0,0.0,False,test
46_170,42,0,0.0,False,test
46_171,104,0,0.0,False,train
46_172,77,0,0.0,False,train
46_173,95,0,0.0,False,test
46_174,276,0,0.0,False,train
46_175,339,0,0.0,False,test
46_176,151,0,0.0,False,train
46_177,19,0,0.0,False,validation
46_178,13,0,0.0,False,train
46_179,25,0,0.0,False,train
46_180,42,0,0.0,False,train
46_181,16,0,0.0,False,train
46_182,10,1,10.0,True,train
46_183,225,1,0.4444444444444444,True,train
46_184,327,21,6.422018348623854,True,train
46_185,178,12,6.741573033707865,True,train
46_186,129,1,0.7751937984496124,True,train
46_187,490,8,1.6326530612244898,True,train
46_188,719,1,0.13908205841446453,True,test
46_189,97,0,0.0,False,train
47_137,25,0,0.0,False,test
47_138,46,0,0.0,False,train
47_139,20,0,0.0,False,train
47_140,16,0,0.0,False,validation
47_141,24,0,0.0,False,train
47_142,21,0,0.0,False,train
47_143,46,0,0.0,False,train
47_144,36,0,0.0,False,train
47_145,24,0,0.0,False,train
47_146,182,1,0.5494505494505495,True,validation
47_147,109,0,0.0,False,train
47_148,104,0,0.0,False,train
47_149,130,0,0.0,False,train
47_150,46,0,0.0,False,test
47_151,106,0,0.0,False,train
47_152,66,0,0.0,False,test
47_153,40,0,0.0,False,train
47_154,177,0,0.0,False,test
47_155,423,3,0.7092198581560284,True,validation
47_156,372,0,0.0,False,validation
47_157,211,0,0.0,False,train
47_158,172,0,0.0,False,validation
47_159,316,1,0.31645569620253167,True,train
47_160,308,1,0.3246753246753247,True,train
47_161,195,0,0.0,False,train
47_162,84,0,0.0,False,train
47_163,167,0,0.0,False,test
47_164,239,0,0.0,False,train
47_165,253,0,0.0,False,test
47_166,170,0,0.0,False,test
47_167,203,0,0.0,False,train
47_168,237,0,0.0,False,train
47_169,152,0,0.0,False,train
47_170,193,0,0.0,False,train
47_171,158,1,0.6329113924050633,True,train
47_172,222,2,0.9009009009009009,True,train
47_173,131,1,0.7633587786259541,True,train
47_174,208,1,0.4807692307692308,True,train
47_175,212,0,0.0,False,train
47_176,184,0,0.0,False,train
47_177,134,0,0.0,False,test
47_178,39,0,0.0,False,train
47_179,50,0,0.0,False,validation
47_180,54,0,0.0,False,train
47_181,44,0,0.0,False,validation
47_182,19,0,0.0,False,train
47_183,330,1,0.30303030303030304,True,train
47_184,259,10,3.861003861003861,True,train
47_185,159,6,3.7735849056603774,True,train
47_186,139,0,0.0,False,train
47_187,453,33,7.28476821192053,True,validation
47_188,511,2,0.3913894324853229,True,train
47_189,45,0,0.0,False,train
48_135,68,0,0.0,False,validation
48_136,49,0,0.0,False,validation
48_137,20,0,0.0,False,validation
48_138,35,0,0.0,False,train
48_139,23,1,4.3478260869565215,True,train
48_140,1,0,0.0,False,train
48_141,7,0,0.0,False,test
48_142,8,1,12.5,True,validation
48_143,8,0,0.0,False,train
48_144,13,0,0.0,False,train
48_145,54,0,0.0,False,train
48_146,172,0,0.0,False,train
48_147,199,1,0.5025125628140703,True,validation
48_148,236,2,0.847457627118644,True,train
48_149,199,1,0.5025125628140703,True,validation
48_150,18,0,0.0,False,train
48_151,24,0,0.0,False,test
48_152,18,0,0.0,False,validation
48_153,37,0,0.0,False,validation
48_154,213,3,1.4084507042253522,True,train
48_155,314,3,0.9554140127388535,True,test
48_156,207,0,0.0,False,train
48_157,145,0,0.0,False,train
48_158,269,2,0.7434944237918215,True,validation
48_159,124,0,0.0,False,train
48_160,131,1,0.7633587786259541,True,train
48_161,283,1,0.35335689045936397,True,train
48_162,199,0,0.0,False,train
48_163,96,0,0.0,False,train
48_164,63,0,0.0,False,train
48_165,81,0,0.0,False,train
48_166,84,0,0.0,False,train
48_167,85,0,0.0,False,test
48_168,84,0,0.0,False,validation
48_169,105,0,0.0,False,train
48_170,118,0,0.0,False,train
48_171,55,0,0.0,False,train
48_172,30,0,0.0,False,train
48_173,23,0,0.0,False,train
48_174,151,0,0.0,False,train
48_175,165,0,0.0,False,test
48_176,124,0,0.0,False,train
48_177,195,0,0.0,False,validation
48_178,108,0,0.0,False,train
48_179,36,0,0.0,False,train
48_180,50,0,0.0,False,train
48_181,1,0,0.0,False,train
48_182,28,0,0.0,False,train
48_183,68,0,0.0,False,train
48_184,174,2,1.1494252873563218,True,train
48_185,238,5,2.100840336134454,True,train
48_186,114,6,5.263157894736842,True,test
48_187,292,10,3.4246575342465753,True,validation
48_188,336,0,0.0,False,validation
48_189,100,0,0.0,False,train
49_134,1,0,0.0,False,train
49_135,67,0,0.0,False,train
49_136,175,1,0.5714285714285714,True,train
49_137,92,0,0.0,False,train
49_138,94,0,0.0,False,train
49_139,2,0,0.0,False,validation
49_140,3,0,0.0,False,validation
49_141,7,0,0.0,False,train
49_142,10,0,0.0,False,validation
49_143,13,0,0.0,False,train
49_144,6,0,0.0,False,train
49_145,26,0,0.0,False,test
49_146,193,0,0.0,False,train
49_147,211,0,0.0,False,test
49_148,42,0,0.0,False,train
49_149,41,0,0.0,False,train
49_150,75,0,0.0,False,train
49_151,29,0,0.0,False,train
49_152,153,1,0.6535947712418301,True,train
49_153,186,1,0.5376344086021506,True,test
49_154,410,2,0.4878048780487805,True,train
49_155,394,1,0.25380710659898476,True,validation
49_156,132,1,0.7575757575757576,True,train
49_157,89,0,0.0,False,train
49_158,169,0,0.0,False,train
49_159,138,0,0.0,False,train
49_160,171,2,1.1695906432748537,True,validation
49_161,363,3,0.8264462809917356,True,train
49_162,297,2,0.6734006734006733,True,validation
49_163,99,0,0.0,False,train
49_164,57,0,0.0,False,train
49_165,35,0,0.0,False,train
49_166,72,0,0.0,False,train
49_167,283,5,1.76678445229682,True,train
49_168,202,0,0.0,False,validation
49_169,51,0,0.0,False,train
49_170,125,0,0.0,False,train
49_171,309,0,0.0,False,validation
49_172,151,0,0.0,False,train
49_173,62,0,0.0,False,train
